Cut,Active,Events Passing,Absolute Frac. [%],Relative Frac. [%],Description
No cuts,N/A,10000,100.00,100.00,No selection applied
is_reco_electron,True,9560,95.60,95.60,Tracks are assumed to be electrons (trk)
has_downstream,True,6251,62.51,65.39,Downstream tracks (p_z > 0 through tracker)
good_trkqual,True,4682,46.82,74.90,Track quality  > 0.2
good_trkpid,True,2089,20.89,44.62,Track PID > 0.8
within_t0,True,1566,15.66,74.96,t0 at tracker mid (640 < t_0 < 1650 ns)
within_pitch_angle,True,1059,10.59,67.62,Extrapolated pitch angle (0.5577350 < tan(theta_Dip) < 1.0)
has_st,True,714,7.14,67.42,has Nst > 0
no_opa,True,698,6.98,97.76,has N_opa == 0
no_crv_veto,True,530,5.30,75.93,No crv-trk veto: |dt| >= 150 ns
good_trigger,True,14,0.14,2.64,trig_TriggerableLH passed
